,image,mask
26,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3378277.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3378277.png
27,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8506251.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8506251.png
28,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2287895.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2287895.png
29,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1915137.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1915137.png
30,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5227804.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5227804.png
31,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8215490.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8215490.png
32,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1135682.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1135682.png
33,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3044565.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3044565.png
34,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10360508.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10360508.png
35,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3510684.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3510684.png
36,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10844276.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10844276.png
37,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1002284.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1002284.png
38,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3999332.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3999332.png
39,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8996662.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8996662.png
40,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8963415.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8963415.png
41,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10492817.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10492817.png
42,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1135435.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1135435.png
43,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6441668.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6441668.png
44,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1763932.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1763932.png
45,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8028818.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8028818.png
46,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7920297.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7920297.png
47,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7591988.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7591988.png
48,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10695257.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10695257.png
49,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2381862.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2381862.png
50,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4923963.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4923963.png
51,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7697268.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7697268.png
52,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7016677.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7016677.png
53,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8272593.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8272593.png
54,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2733424.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2733424.png
55,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10558657.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10558657.png
56,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3646680.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3646680.png
57,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/146158.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/146158.png
58,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2625033.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2625033.png
59,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10215950.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10215950.png
60,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10021485.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10021485.png
61,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6294880.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6294880.png
62,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/488302.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/488302.png
63,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6921174.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6921174.png
64,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/11200031.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/11200031.png
65,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10030309.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10030309.png
66,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7261653.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7261653.png
67,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3998412.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3998412.png
68,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4371036.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4371036.png
69,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8160133.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8160133.png
70,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5433255.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5433255.png
71,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/185538.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/185538.png
72,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10467240.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10467240.png
73,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7747068.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7747068.png
74,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6891305.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6891305.png
75,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6056462.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6056462.png
76,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1052981.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1052981.png
77,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4607264.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4607264.png
78,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1601641.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1601641.png
79,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/968077.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/968077.png
80,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/11372945.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/11372945.png
81,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9973538.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9973538.png
82,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10787250.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10787250.png
83,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5589458.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5589458.png
84,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/616911.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/616911.png
85,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2945720.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2945720.png
86,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9832784.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9832784.png
87,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10933503.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10933503.png
88,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/11198340.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/11198340.png
89,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5358238.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5358238.png
90,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3154851.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3154851.png
91,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4457602.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4457602.png
92,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/793443.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/793443.png
93,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/719935.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/719935.png
94,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7886652.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7886652.png
95,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2964971.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2964971.png
96,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10514780.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10514780.png
97,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3078468.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3078468.png
98,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6172697.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6172697.png
99,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4243707.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4243707.png
100,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3321941.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3321941.png
101,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9828286.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9828286.png
102,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3271712.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3271712.png
103,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4860470.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4860470.png
104,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1728649.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1728649.png
105,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6968733.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6968733.png
106,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1421023.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1421023.png
107,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/56776.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/56776.png
108,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/11081083.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/11081083.png
109,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10503762.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10503762.png
110,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/721601.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/721601.png
111,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/829771.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/829771.png
112,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/367829.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/367829.png
113,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/694961.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/694961.png
114,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7510208.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7510208.png
115,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3915869.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3915869.png
116,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9178788.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9178788.png
117,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9284491.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9284491.png
118,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2726221.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2726221.png
119,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3912427.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3912427.png
120,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2427554.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2427554.png
121,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7363280.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7363280.png
122,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/242040.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/242040.png
123,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6967858.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6967858.png
124,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2021690.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2021690.png
125,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5974784.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5974784.png
126,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6540415.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6540415.png
127,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5535727.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5535727.png
128,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10487003.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10487003.png
129,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3469545.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3469545.png
130,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5599851.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5599851.png
131,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10402032.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10402032.png
132,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7418439.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7418439.png
133,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7334968.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7334968.png
134,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/702717.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/702717.png
135,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10527889.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10527889.png
136,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3535396.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3535396.png
137,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7411390.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7411390.png
138,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/583334.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/583334.png
139,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8400349.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8400349.png
140,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7769272.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7769272.png
141,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4200690.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4200690.png
142,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8279035.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8279035.png
143,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5126173.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5126173.png
144,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9948977.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9948977.png
145,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10464952.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10464952.png
146,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7563014.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7563014.png
147,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1233342.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1233342.png
148,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6482236.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6482236.png
149,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8259303.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8259303.png
150,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10023794.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10023794.png
151,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/808036.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/808036.png
152,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6588446.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6588446.png
153,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10350711.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10350711.png
154,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3855131.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3855131.png
155,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6467023.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6467023.png
156,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6153310.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6153310.png
157,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10755130.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10755130.png
158,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1744114.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1744114.png
159,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3944344.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3944344.png
160,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8776992.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8776992.png
161,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3461356.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3461356.png
162,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4883169.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4883169.png
163,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2736036.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2736036.png
164,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8755796.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8755796.png
165,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5558581.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5558581.png
166,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3660955.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3660955.png
167,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4570133.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4570133.png
168,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7611469.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7611469.png
169,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3583622.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3583622.png
170,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6713170.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6713170.png
171,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3281056.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3281056.png
172,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10335355.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10335355.png
173,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1210003.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1210003.png
174,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10213521.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10213521.png
175,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10887118.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10887118.png
176,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7236395.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7236395.png
177,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1049631.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1049631.png
178,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10796542.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10796542.png
179,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1502367.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1502367.png
180,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5664976.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5664976.png
181,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/11213660.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/11213660.png
182,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9988909.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9988909.png
183,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5066780.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5066780.png
